16777216,16777471,Australia
16777472,16778239,China
16778240,16779263,Australia
16779264,16781311,China
16781312,16785407,Japan
16785408,16793599,China
16793600,16809983,Japan
16809984,16842751,Thailand
16842752,16843007,China
16843008,16843263,Australia
16843264,16859135,China
16859136,16875519,Japan
16875520,16908287,Thailand
16908288,16909055,China
16909056,16909311,Australia
16909312,16941055,China
16941056,16973823,Thailand
16973824,17039359,China
17039360,17039615,Australia
17039616,17072127,China
17072128,17104895,Thailand
17104896,17170431,Japan
17170432,17301503,India
17301504,17367039,China
17367040,17432575,Malaysia
17432576,17435135,China
17435136,17435391,Australia
17435392,17465343,China
17465344,17498111,Thailand
17563648,17825791,China
18087936,18153471,Thailand
18153472,18219007,Japan
18219008,18350079,India
18350080,18874367,China
18874368,18939903,Hong Kong
18939904,19005439,Japan
19005440,19136511,Taiwan
19136512,19202047,Hong Kong
19202048,19267583,Philippines
19267584,19398655,India
19398656,19726335,Australia
19726336,19791871,China
19791872,19922943,Thailand
19922944,20185087,China
20185088,20447231,Vietnam
20447232,20971519,China
20971520,21102591,Hong Kong
21102592,21233663,Japan
21233664,21495807,China
21495808,22020095,Japan
22020096,23068671,China
24117248,24379391,Japan
24379392,24641535,China
24641536,27262975,Australia
27262976,28311551,Taiwan
28442624,28540927,Australia
28540928,28573695,Thailand
28573696,28966911,China
28966912,29097983,India
29097984,29884415,China
29884416,29949951,Taiwan
30015488,30408703,China
33554432,33554432,Russian Federation
33554433,34603007,France
34603008,34604543,Europe
34604544,34605055,Germany
34605056,34612223,Europe
34612224,34612735,Israel
34612736,34620415,Europe
34620416,34620927,Sweden
34620928,34621439,Italy
34621440,34636799,Europe
34636800,34637311,Germany
34637312,34646527,Europe
34646528,34647551,Germany
34647552,34648575,Europe
34648576,34649087,Greece
34649088,34659327,Europe
34659328,34660351,Greece
34660352,34664447,Europe
34664448,34668543,Germany
34668544,34673663,Europe
34673664,34674687,Germany
34674688,34733055,Europe
34733056,34734079,Germany
34734080,34754559,Europe
34754560,34758655,Greece
34758656,34796031,Europe
34796032,34796543,Netherlands
34796544,34803711,Europe
34803712,34807807,Italy
34807808,34861055,Europe
